Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,39.42,0.9937,0.1465,0.0018
Gaussian,39.05,0.9939,0.1493,0.0018
Gaussian,39.39,0.9972,0.1492,0.0018
Gaussian,39.39,0.9941,0.147,0.0018
Gaussian,39.25,0.9955,0.1505,0.0018
Gaussian,39.11,0.9935,0.1549,0.0019
Gaussian,39.03,0.9938,0.1498,0.0018
Gaussian,40.04,0.9974,0.1439,0.0018
Gaussian,39.75,0.9968,0.1459,0.0018
Gaussian,39.08,0.9934,0.153,0.0019
Gaussian,39.03,0.9939,0.1603,0.0018
Gaussian,39.33,0.9941,0.1467,0.0018
Gaussian,38.82,0.9921,0.1614,0.0019
Gaussian,40.06,0.9973,0.1441,0.0018
Gaussian,39.05,0.9939,0.1603,0.0018
Gaussian,39.21,0.9939,0.1514,0.0018
Gaussian,39.29,0.9938,0.1542,0.0018
Gaussian,39.3,0.9946,0.1449,0.0018
Gaussian,39.28,0.9939,0.1537,0.0018
Gaussian,38.88,0.9938,0.1518,0.0019
Gaussian,39.09,0.9943,0.1577,0.0018
Gaussian,39.26,0.9939,0.1532,0.0018
Gaussian,38.87,0.9931,0.1579,0.0018
Gaussian,39.33,0.9938,0.1471,0.0018
Gaussian,39.0,0.9932,0.1574,0.0018
Gaussian,38.85,0.9937,0.154,0.0018
Gaussian,39.78,0.9969,0.1443,0.0018
Gaussian,39.05,0.9957,0.1454,0.0018
Gaussian,39.04,0.993,0.1502,0.0018
Gaussian,38.87,0.9922,0.16,0.0019
Gaussian,38.84,0.9929,0.1624,0.0019
Gaussian,39.39,0.9939,0.1498,0.0019
Gaussian,39.25,0.994,0.1523,0.0018
Gaussian,39.37,0.9945,0.1451,0.0018
Gaussian,39.65,0.9966,0.1468,0.0018
Gaussian,39.39,0.9937,0.1475,0.0018
Gaussian,39.19,0.9941,0.1517,0.0018
Gaussian,39.2,0.9941,0.1515,0.0018
Gaussian,39.11,0.9949,0.152,0.0018
Gaussian,39.21,0.9942,0.1452,0.0018
Gaussian,38.85,0.9937,0.1541,0.0019
Gaussian,39.99,0.9975,0.1437,0.0019
Gaussian,39.37,0.9941,0.1502,0.0018
Gaussian,39.03,0.9938,0.1613,0.0018
Gaussian,39.1,0.9941,0.1606,0.0018
Gaussian,39.67,0.9963,0.1501,0.0018
Gaussian,39.13,0.994,0.1562,0.0019
Gaussian,39.35,0.9945,0.1454,0.0018
Gaussian,38.67,0.992,0.1716,0.0018
Gaussian,39.08,0.9938,0.1525,0.0018
Gaussian,38.98,0.9959,0.1594,0.0018
Gaussian,38.89,0.9922,0.159,0.0018
Gaussian,38.97,0.9934,0.1555,0.0018
Gaussian,38.69,0.9922,0.17,0.0018
Gaussian,39.43,0.9939,0.1486,0.0018
Gaussian,39.0,0.9959,0.1584,0.0018
Gaussian,39.06,0.994,0.1595,0.0018
Gaussian,39.07,0.9958,0.1449,0.0018
Gaussian,39.03,0.9959,0.1436,0.0018
Gaussian,38.84,0.9931,0.1607,0.0018
Gaussian,39.32,0.994,0.1518,0.0018
Gaussian,38.89,0.9938,0.1524,0.0018
Gaussian,39.37,0.9972,0.1493,0.0018
Gaussian,40.03,0.9974,0.144,0.0018
Gaussian,39.22,0.9939,0.1535,0.002
Gaussian,39.11,0.9937,0.1483,0.0018
Gaussian,39.07,0.9931,0.1494,0.0018
Gaussian,39.42,0.9945,0.1448,0.0018
Gaussian,39.39,0.9942,0.1457,0.0018
Gaussian,39.6,0.9963,0.1507,0.0018
Gaussian,39.2,0.9941,0.1517,0.0018
Gaussian,39.4,0.9945,0.1452,0.0018
Gaussian,39.04,0.993,0.1511,0.0018
Gaussian,39.09,0.994,0.1583,0.0018
Gaussian,39.04,0.9936,0.1557,0.0019
Gaussian,39.29,0.9941,0.1482,0.0018
Gaussian,39.32,0.9937,0.1542,0.0018
Gaussian,39.32,0.9942,0.1486,0.0018
Gaussian,39.6,0.9964,0.1484,0.0018
Gaussian,39.14,0.994,0.1472,0.0018
Gaussian,39.01,0.9937,0.1612,0.0018
Gaussian,39.06,0.9937,0.1535,0.0018
Gaussian,39.05,0.9936,0.1551,0.0018
Gaussian,39.75,0.9965,0.1442,0.002
Gaussian,39.26,0.9941,0.1503,0.0019
Gaussian,39.42,0.9938,0.1498,0.0018
Gaussian,39.06,0.9934,0.1535,0.0019
Gaussian,38.94,0.9945,0.1575,0.0018
Gaussian,38.82,0.993,0.1608,0.0018
Gaussian,39.05,0.9958,0.1604,0.0018
Gaussian,38.89,0.9937,0.153,0.0018
Gaussian,39.57,0.9962,0.1521,0.0018
Gaussian,39.05,0.9936,0.155,0.0018
Gaussian,38.99,0.9937,0.1634,0.0018
Gaussian,39.01,0.9938,0.1628,0.0018
Gaussian,39.1,0.9936,0.1499,0.0018
Gaussian,39.66,0.9965,0.1461,0.0019
Gaussian,38.88,0.9936,0.1542,0.0019
Gaussian,38.87,0.9933,0.1573,0.0018
Gaussian,39.36,0.994,0.1513,0.0018
Gaussian,39.43,0.9935,0.148,0.0019
Gaussian,39.36,0.9939,0.1516,0.0018
Gaussian,39.19,0.9953,0.1524,0.0018
Gaussian,39.07,0.9931,0.1498,0.0018
Gaussian,39.78,0.9968,0.1432,0.0027
Gaussian,39.19,0.9942,0.1468,0.002
Gaussian,39.07,0.9931,0.1501,0.0018
Gaussian,38.86,0.9921,0.1592,0.0018
Gaussian,39.3,0.9963,0.1574,0.0018
Gaussian,39.37,0.9973,0.1473,0.0018
Gaussian,39.7,0.9966,0.1468,0.0018
Gaussian,39.46,0.9937,0.1464,0.0018
Gaussian,39.04,0.9958,0.1592,0.0018
Gaussian,38.82,0.9942,0.1596,0.0018
Gaussian,39.07,0.9959,0.1441,0.0018
Gaussian,39.13,0.9942,0.1448,0.0018
Gaussian,39.39,0.9972,0.1488,0.0018
Gaussian,39.11,0.9961,0.1439,0.0018
Gaussian,39.23,0.9942,0.1473,0.0018
Gaussian,39.2,0.994,0.151,0.002
Gaussian,38.87,0.9937,0.1535,0.0018
Gaussian,39.7,0.9967,0.145,0.0018
Gaussian,39.78,0.9968,0.1439,0.0018
Gaussian,39.48,0.9935,0.1476,0.0018
Gaussian,39.77,0.9968,0.1464,0.0018
Gaussian,38.91,0.9953,0.1468,0.0018
Gaussian,38.77,0.9929,0.1596,0.0018
Gaussian,39.45,0.9974,0.1487,0.0018
Gaussian,39.08,0.9961,0.1624,0.0019
Gaussian,39.4,0.9942,0.147,0.0018
Gaussian,39.49,0.9966,0.1435,0.0018
Gaussian,39.25,0.9933,0.153,0.0019
Gaussian,39.19,0.9932,0.155,0.0018
Gaussian,39.85,0.9972,0.1414,0.0018
Gaussian,39.13,0.9943,0.1423,0.0019
Gaussian,39.2,0.9931,0.1552,0.0018
Gaussian,39.51,0.9953,0.1561,0.0018
Gaussian,39.41,0.9962,0.1461,0.0018
Gaussian,39.15,0.9943,0.1421,0.0018
Gaussian,39.69,0.9975,0.143,0.002
Gaussian,39.79,0.9973,0.1411,0.0019
Gaussian,39.43,0.997,0.1409,0.0018
Gaussian,39.52,0.9957,0.1474,0.0018
Gaussian,39.19,0.9935,0.1543,0.0018
Gaussian,39.65,0.9969,0.1489,0.0018
Gaussian,39.63,0.9976,0.1425,0.0019
Gaussian,39.17,0.9944,0.1424,0.0018
Gaussian,39.72,0.9967,0.1361,0.0018
Gaussian,39.33,0.9943,0.1472,0.0018
Gaussian,39.75,0.9974,0.1417,0.0018
Gaussian,39.6,0.9973,0.1382,0.0018
Gaussian,39.89,0.9971,0.1455,0.0018
Gaussian,39.45,0.9941,0.145,0.0018
Gaussian,39.64,0.9968,0.1499,0.0019
Gaussian,39.45,0.9947,0.1422,0.0018
Gaussian,39.14,0.9943,0.1424,0.0018
Gaussian,39.94,0.997,0.1428,0.0018
Gaussian,39.2,0.9935,0.1539,0.0018
Gaussian,39.42,0.997,0.1411,0.0018
Gaussian,39.51,0.9967,0.1432,0.0019
Gaussian,39.48,0.9974,0.1364,0.0018
Gaussian,39.8,0.9973,0.1412,0.0018
Gaussian,39.38,0.9939,0.1459,0.0018
Gaussian,39.17,0.9943,0.1426,0.0018
Gaussian,39.89,0.9977,0.1416,0.0018
Gaussian,39.16,0.9952,0.1595,0.0018
Gaussian,39.35,0.9961,0.1493,0.0018
Gaussian,39.74,0.9939,0.1475,0.0018
Gaussian,39.44,0.9946,0.1415,0.0018
Gaussian,39.42,0.997,0.1409,0.0018
Gaussian,39.63,0.9966,0.1427,0.0018
Gaussian,39.6,0.9975,0.1427,0.0018
Gaussian,39.96,0.9972,0.1438,0.0018
Gaussian,39.85,0.9969,0.143,0.0019
Gaussian,39.58,0.997,0.1431,0.0018
Gaussian,39.58,0.9966,0.1428,0.0018
Gaussian,39.58,0.9973,0.1384,0.0018
Gaussian,39.37,0.9938,0.1457,0.0018
Gaussian,39.32,0.9943,0.1473,0.0019
Gaussian,39.93,0.9972,0.1436,0.0018
Gaussian,39.58,0.997,0.143,0.0018
Gaussian,39.65,0.9955,0.1544,0.0018
Gaussian,39.43,0.997,0.141,0.0018
Gaussian,39.63,0.9976,0.143,0.0018
Gaussian,39.38,0.9942,0.1471,0.0018
Gaussian,39.56,0.9966,0.1433,0.0018
Gaussian,39.63,0.9972,0.1381,0.0018
Gaussian,39.2,0.9935,0.1541,0.0019
Gaussian,39.33,0.994,0.1458,0.0018
Gaussian,39.68,0.9967,0.1365,0.0018
Gaussian,39.19,0.9935,0.154,0.0018
Gaussian,39.71,0.9973,0.1426,0.0018
Gaussian,39.85,0.9973,0.1444,0.0018
Gaussian,39.18,0.9932,0.1553,0.0019
Gaussian,39.42,0.9941,0.1469,0.0018
Gaussian,39.73,0.9939,0.1479,0.0018
Gaussian,39.69,0.9939,0.1489,0.0018
Gaussian,39.86,0.997,0.1457,0.0018
Gaussian,39.42,0.9947,0.1415,0.0018
Gaussian,39.33,0.996,0.149,0.0018
Gaussian,39.63,0.9963,0.1456,0.0018
Gaussian,39.45,0.9946,0.1422,0.0018
Gaussian,39.39,0.9941,0.1471,0.0018
Gaussian,39.69,0.9963,0.1459,0.0018
Gaussian,39.85,0.9972,0.1418,0.0018
Gaussian,39.73,0.9962,0.1461,0.0018
Gaussian,39.22,0.9953,0.1595,0.0018
Gaussian,39.17,0.9944,0.1423,0.0018
Gaussian,39.8,0.9972,0.1433,0.0018
Gaussian,39.86,0.9972,0.1413,0.0018
Gaussian,39.53,0.9957,0.1474,0.0018
Gaussian,39.35,0.994,0.1457,0.0018
Gaussian,39.32,0.9943,0.1472,0.0018
Gaussian,39.51,0.9957,0.1474,0.0018
Gaussian,39.04,0.9937,0.1445,0.002
Gaussian,39.67,0.9967,0.1365,0.0018
Gaussian,39.9,0.9977,0.1415,0.0018
Gaussian,39.34,0.9961,0.1501,0.0018
Gaussian,39.44,0.997,0.141,0.0018
Gaussian,39.16,0.9943,0.1424,0.0018
Gaussian,39.43,0.997,0.1409,0.0018
Gaussian,39.53,0.997,0.1432,0.0018
Gaussian,39.91,0.9971,0.1454,0.0018
Gaussian,39.89,0.9977,0.1416,0.0018
Gaussian,39.51,0.9957,0.1474,0.0018
Gaussian,39.68,0.9963,0.1449,0.0018
Gaussian,39.67,0.9962,0.146,0.0019
Gaussian,39.9,0.9977,0.1415,0.0018
Gaussian,39.66,0.9962,0.1462,0.0018
Gaussian,39.85,0.9972,0.1448,0.0018
Gaussian,39.69,0.9977,0.1374,0.0018
Gaussian,39.2,0.9935,0.1541,0.0018
Gaussian,39.83,0.9972,0.1415,0.0018
Gaussian,39.63,0.9976,0.1427,0.0018
Gaussian,39.68,0.9969,0.1491,0.0018
Gaussian,39.32,0.9961,0.1505,0.0018
Gaussian,39.46,0.9941,0.1449,0.0018
Gaussian,39.2,0.9934,0.1544,0.0018
Gaussian,39.91,0.9977,0.1416,0.0018
Gaussian,39.61,0.9966,0.1433,0.0018
Gaussian,39.44,0.9946,0.1423,0.0019
Gaussian,39.8,0.9972,0.1452,0.0018
Gaussian,39.8,0.9972,0.1451,0.0018
Gaussian,39.45,0.9941,0.1449,0.0018
Gaussian,39.47,0.9941,0.1449,0.0018
Gaussian,39.61,0.9976,0.1427,0.0021
Gaussian,39.32,0.9931,0.1535,0.0018
Gaussian,39.5,0.9957,0.1474,0.0018
Gaussian,39.62,0.9974,0.1405,0.0019
Gaussian,39.74,0.994,0.1473,0.0018
Gaussian,39.61,0.9976,0.1423,0.0018
Gaussian,39.73,0.9971,0.1475,0.0018
Gaussian,39.51,0.9957,0.1475,0.0018
Gaussian,39.86,0.9968,0.1434,0.0019
Gaussian,39.56,0.997,0.1429,0.002
Gaussian,39.32,0.9938,0.1453,0.0018
Gaussian,39.61,0.9973,0.1382,0.0018
Gaussian,39.53,0.997,0.1433,0.0018
Gaussian,39.11,0.9939,0.1495,0.0018
Gaussian,39.43,0.9971,0.1407,0.0018
Gaussian,39.92,0.9977,0.1416,0.0018
Gaussian,39.9,0.9977,0.1416,0.0018
Gaussian,39.53,0.9971,0.1431,0.0018
Gaussian,39.6,0.9966,0.1434,0.0019
Gaussian,39.23,0.9961,0.1499,0.0018
Gaussian,39.42,0.9963,0.1495,0.0018
Gaussian,39.49,0.9958,0.1475,0.002
Gaussian,39.2,0.9932,0.1545,0.0018
Gaussian,39.65,0.9967,0.1366,0.0018
Gaussian,38.5,0.9921,0.1723,0.0018
Gaussian,39.11,0.9934,0.1514,0.0018
Gaussian,39.12,0.994,0.1549,0.0018
Gaussian,38.55,0.9921,0.1761,0.0018
Gaussian,38.53,0.9925,0.1677,0.0019
Gaussian,38.13,0.9906,0.1934,0.0021
Gaussian,39.5,0.9945,0.1389,0.0023
Gaussian,39.51,0.9941,0.1451,0.0018
Gaussian,38.9,0.9944,0.1685,0.0018
Gaussian,39.23,0.9943,0.1462,0.0019
Gaussian,39.49,0.9945,0.1403,0.0018
Gaussian,38.92,0.9935,0.1594,0.0018
Gaussian,39.45,0.9944,0.1428,0.0018
Gaussian,39.13,0.9941,0.154,0.0018
Gaussian,39.88,0.9972,0.1462,0.0018
Gaussian,39.5,0.9943,0.1436,0.0018
Gaussian,39.46,0.9967,0.1452,0.0018
Gaussian,39.82,0.9974,0.1396,0.0018
Gaussian,39.67,0.9956,0.1439,0.002
Gaussian,39.11,0.9932,0.1566,0.0019
Gaussian,39.44,0.9925,0.1513,0.0019
Gaussian,38.58,0.9917,0.1781,0.0018
Gaussian,39.9,0.9976,0.1416,0.0018
Gaussian,39.48,0.9974,0.1352,0.0018
Gaussian,39.24,0.9945,0.1413,0.0019
Gaussian,39.14,0.994,0.1496,0.0018
Gaussian,39.5,0.9943,0.1433,0.0018
Gaussian,39.84,0.9974,0.1401,0.0018
Gaussian,39.45,0.9967,0.1456,0.0018
Gaussian,39.13,0.9939,0.1541,0.0018
Gaussian,39.47,0.9944,0.1409,0.0018
Gaussian,39.44,0.9944,0.1442,0.0018
Gaussian,38.68,0.9927,0.1628,0.0018
Gaussian,39.14,0.9937,0.1564,0.0019
Gaussian,39.34,0.9942,0.1476,0.0018
Gaussian,39.17,0.9937,0.1541,0.0019
Gaussian,38.83,0.994,0.1735,0.0018
Gaussian,38.71,0.992,0.1759,0.0018
Gaussian,38.82,0.9941,0.1724,0.0018
Gaussian,39.81,0.9966,0.1436,0.0018
Gaussian,38.43,0.9914,0.1844,0.002
Gaussian,38.49,0.9923,0.17,0.0019
Gaussian,39.05,0.9939,0.1508,0.0018
Gaussian,38.54,0.9917,0.1725,0.0018
Gaussian,38.5,0.9922,0.171,0.0018
Gaussian,38.5,0.9911,0.1822,0.0018
Gaussian,38.57,0.9918,0.1805,0.0018
Gaussian,38.95,0.9941,0.1693,0.0018
Gaussian,39.35,0.997,0.15,0.0018
Gaussian,38.58,0.9918,0.1779,0.0018
Gaussian,38.91,0.9936,0.1547,0.0018
Gaussian,39.21,0.9937,0.154,0.0018
Gaussian,39.44,0.9973,0.1397,0.0018
Gaussian,39.34,0.9968,0.1387,0.0018
Gaussian,39.28,0.9937,0.1488,0.0018
Gaussian,39.69,0.9975,0.1402,0.0018
Gaussian,39.25,0.9937,0.1538,0.0018
Gaussian,38.99,0.9934,0.1566,0.0018
Gaussian,38.52,0.9923,0.17,0.0018
Gaussian,39.06,0.994,0.1571,0.0018
Gaussian,39.11,0.9935,0.1481,0.0018
Gaussian,38.25,0.9913,0.1865,0.0018
Gaussian,39.55,0.9969,0.1401,0.0018
Gaussian,38.93,0.9933,0.1585,0.0018
Gaussian,39.6,0.9946,0.1424,0.0019
Gaussian,39.3,0.9941,0.1482,0.0018
Gaussian,39.43,0.9972,0.1366,0.0018
Gaussian,39.45,0.9964,0.146,0.0018
Gaussian,39.86,0.9976,0.1408,0.0018
Gaussian,39.37,0.9959,0.1461,0.0018
Gaussian,38.47,0.9921,0.173,0.0018
Gaussian,39.33,0.9967,0.145,0.0018
Gaussian,39.26,0.9944,0.1395,0.0018
Gaussian,38.78,0.9932,0.1666,0.0019
Gaussian,39.78,0.9972,0.1401,0.0018
Gaussian,39.29,0.9955,0.1426,0.0018
Gaussian,39.07,0.9939,0.1579,0.0018
Gaussian,39.14,0.9938,0.1462,0.0018
Gaussian,39.13,0.9945,0.146,0.0018
Gaussian,39.5,0.9964,0.1509,0.0018
Gaussian,39.56,0.9967,0.1443,0.0018
Gaussian,39.15,0.9941,0.1464,0.0018
Gaussian,39.09,0.9942,0.1485,0.0018
Gaussian,38.64,0.9929,0.1628,0.0018
Gaussian,39.15,0.994,0.1541,0.0018
Gaussian,38.67,0.9925,0.168,0.0018
Gaussian,39.26,0.9942,0.1458,0.0018
Gaussian,39.46,0.9975,0.1339,0.0018
Gaussian,38.69,0.9917,0.1693,0.0018
Gaussian,39.31,0.9943,0.1448,0.0018
Gaussian,38.74,0.9933,0.1606,0.0018
Gaussian,39.94,0.9974,0.143,0.0018
Gaussian,39.73,0.9975,0.1399,0.0018
Gaussian,39.03,0.9933,0.1578,0.0018
Gaussian,38.91,0.9928,0.1571,0.0018
Gaussian,39.48,0.9975,0.1338,0.0018
Gaussian,39.61,0.9944,0.1425,0.0018
Gaussian,39.67,0.9975,0.1412,0.0019
Gaussian,39.56,0.9964,0.1465,0.0018
Gaussian,39.28,0.9942,0.148,0.0019
Gaussian,38.48,0.992,0.1768,0.0018
Gaussian,39.26,0.9953,0.1439,0.0023
Gaussian,38.38,0.9917,0.1774,0.0018
Gaussian,39.57,0.9975,0.1348,0.0018
Gaussian,39.11,0.9937,0.1575,0.0018
Gaussian,39.03,0.9935,0.1514,0.0018
Gaussian,39.07,0.9937,0.1473,0.0018
Gaussian,39.27,0.9943,0.1443,0.0018
Gaussian,39.0,0.9962,0.1464,0.0018
Gaussian,39.43,0.9965,0.1462,0.0018
Gaussian,39.59,0.9971,0.1371,0.0018
Gaussian,39.2,0.9953,0.1445,0.0019
Gaussian,39.2,0.9953,0.145,0.0019
Gaussian,39.35,0.9967,0.1398,0.002
Gaussian,38.99,0.9961,0.1467,0.0018
Gaussian,39.46,0.9974,0.1341,0.0018
Gaussian,39.09,0.9962,0.1395,0.0019
Gaussian,38.93,0.9959,0.1487,0.0018
Gaussian,39.31,0.9965,0.1439,0.0018
Gaussian,39.15,0.9948,0.1512,0.0018
Gaussian,39.22,0.9953,0.1441,0.0018
Gaussian,39.07,0.9962,0.14,0.0019
Gaussian,39.41,0.9967,0.1354,0.0018
Gaussian,39.42,0.996,0.1434,0.0018
Gaussian,39.45,0.9967,0.1344,0.0018
Gaussian,39.07,0.9962,0.1398,0.0018
Gaussian,39.3,0.9936,0.1577,0.002
Gaussian,39.18,0.9948,0.138,0.0018
Gaussian,39.19,0.9944,0.1509,0.0018
