Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,41.26,0.9987,0.097,0.0093
Gaussian,41.35,0.9986,0.0976,0.0089
Gaussian,41.23,0.9972,0.0984,0.0092
Gaussian,41.25,0.9985,0.094,0.009
Gaussian,40.26,0.9976,0.1189,0.009
Gaussian,40.91,0.9981,0.103,0.0089
Gaussian,41.46,0.9988,0.0952,0.0089
Gaussian,40.47,0.9974,0.1098,0.009
Gaussian,41.31,0.9984,0.0963,0.0089
Gaussian,41.24,0.9987,0.0972,0.0093
Gaussian,41.18,0.9985,0.105,0.0089
Gaussian,41.52,0.9988,0.097,0.0089
Gaussian,41.29,0.9987,0.0955,0.0089
Gaussian,41.0,0.9985,0.106,0.0089
Gaussian,41.31,0.9987,0.0959,0.0097
Gaussian,41.34,0.9987,0.0965,0.0091
Gaussian,41.15,0.9978,0.0989,0.0093
Gaussian,41.58,0.9988,0.0949,0.0089
Gaussian,41.39,0.9986,0.0974,0.009
Gaussian,41.28,0.9986,0.0991,0.009
Gaussian,41.22,0.997,0.099,0.0091
Gaussian,41.36,0.9988,0.0979,0.009
Gaussian,41.43,0.9988,0.096,0.0089
Gaussian,40.75,0.998,0.0977,0.0093
Gaussian,41.29,0.9972,0.097,0.0092
Gaussian,41.36,0.9971,0.0975,0.0093
Gaussian,41.1,0.9986,0.0986,0.0089
Gaussian,41.03,0.9983,0.1038,0.0089
Gaussian,41.33,0.9987,0.0973,0.0096
Gaussian,41.04,0.9985,0.1073,0.009
Gaussian,41.35,0.9986,0.0976,0.0092
Gaussian,41.23,0.9988,0.0952,0.0089
Gaussian,41.36,0.9984,0.0949,0.0088
Gaussian,40.89,0.9985,0.103,0.009
Gaussian,41.56,0.9988,0.0965,0.009
Gaussian,41.38,0.9986,0.1002,0.0094
Gaussian,40.92,0.9983,0.1062,0.0095
Gaussian,41.26,0.9987,0.0951,0.0089
Gaussian,41.5,0.9988,0.096,0.0092
Gaussian,40.98,0.9986,0.1005,0.0091
Gaussian,41.53,0.9987,0.097,0.0089
Gaussian,40.76,0.9983,0.1116,0.0089
Gaussian,41.64,0.9988,0.0949,0.009
Gaussian,41.55,0.9987,0.0959,0.0092
Gaussian,41.56,0.9988,0.097,0.0099
Gaussian,41.08,0.9987,0.1012,0.0089
Gaussian,41.42,0.9987,0.0967,0.0091
Gaussian,41.6,0.9988,0.0991,0.009
Gaussian,41.39,0.9988,0.0947,0.009
Gaussian,40.42,0.9972,0.1155,0.009
Gaussian,41.02,0.9985,0.1032,0.0088
Gaussian,40.62,0.9977,0.1126,0.0094
Gaussian,40.96,0.9985,0.0996,0.009
Gaussian,41.36,0.9986,0.0995,0.009
Gaussian,41.04,0.9982,0.1011,0.0089
Gaussian,41.39,0.9987,0.0971,0.0088
Gaussian,41.33,0.9988,0.0946,0.0098
Gaussian,41.23,0.9982,0.1001,0.0094
Gaussian,41.17,0.9986,0.1024,0.009
Gaussian,41.29,0.9986,0.0982,0.0088
Gaussian,41.43,0.9988,0.0936,0.0088
Gaussian,41.11,0.9986,0.1044,0.0094
Gaussian,41.37,0.9987,0.0925,0.009
Gaussian,41.31,0.9985,0.0998,0.0088
Gaussian,41.51,0.9988,0.0952,0.0088
Gaussian,41.17,0.9986,0.1006,0.009
Gaussian,41.23,0.9986,0.0978,0.0089
Gaussian,41.36,0.9986,0.0997,0.0087
Gaussian,41.79,0.9989,0.0945,0.0101
Gaussian,41.0,0.9985,0.1028,0.0104
Gaussian,41.46,0.9988,0.0951,0.0093
Gaussian,41.36,0.9971,0.0967,0.0091
Gaussian,41.27,0.9971,0.0979,0.0093
Gaussian,40.84,0.9966,0.1001,0.0092
Gaussian,41.22,0.9986,0.0979,0.009
Gaussian,41.57,0.9988,0.0961,0.009
Gaussian,41.29,0.9973,0.0988,0.009
Gaussian,40.86,0.9982,0.1024,0.0087
Gaussian,40.86,0.9972,0.0971,0.0077
Gaussian,41.09,0.9985,0.0993,0.0085
Gaussian,39.82,0.9945,0.1239,0.0086
Gaussian,41.5,0.9969,0.0971,0.0086
Gaussian,41.34,0.9982,0.0973,0.0087
Gaussian,41.15,0.9986,0.0936,0.0094
Gaussian,40.54,0.9965,0.1032,0.0091
Gaussian,40.7,0.9974,0.1035,0.0092
Gaussian,40.78,0.9974,0.1027,0.009
Gaussian,40.56,0.9965,0.1029,0.0093
Gaussian,41.48,0.9969,0.0972,0.0091
Gaussian,41.65,0.9987,0.0956,0.009
Gaussian,40.76,0.9967,0.0989,0.009
Gaussian,40.92,0.9965,0.1031,0.0089
Gaussian,41.27,0.9985,0.0964,0.009
Gaussian,41.63,0.9987,0.0958,0.0092
Gaussian,40.92,0.9967,0.1021,0.009
Gaussian,40.56,0.9965,0.1068,0.0087
Gaussian,40.75,0.9969,0.098,0.0087
Gaussian,40.68,0.9974,0.1039,0.0093
Gaussian,40.69,0.9974,0.1036,0.0092
Gaussian,40.79,0.9967,0.0986,0.0089
Gaussian,41.12,0.9979,0.1014,0.0092
Gaussian,39.63,0.9942,0.1294,0.0091
Gaussian,40.8,0.9967,0.0986,0.009
Gaussian,40.86,0.9963,0.1015,0.0093
Gaussian,41.27,0.997,0.0954,0.0087
Gaussian,40.77,0.997,0.0958,0.0089
Gaussian,41.17,0.9986,0.0934,0.0087
Gaussian,41.15,0.9986,0.0935,0.0092
Gaussian,41.18,0.9986,0.0935,0.0093
Gaussian,40.89,0.9969,0.1017,0.0088
Gaussian,41.76,0.9985,0.0959,0.0086
Gaussian,40.52,0.9964,0.1036,0.009
Gaussian,41.3,0.9982,0.0975,0.0091
Gaussian,41.74,0.9987,0.0953,0.0088
Gaussian,41.91,0.9985,0.0951,0.0086
Gaussian,40.89,0.9969,0.1017,0.0089
Gaussian,41.34,0.9968,0.0981,0.0091
Gaussian,40.93,0.9968,0.1013,0.0093
Gaussian,41.66,0.9987,0.0956,0.0085
Gaussian,41.86,0.9985,0.0952,0.0092
Gaussian,40.63,0.9965,0.1061,0.009
Gaussian,40.18,0.996,0.1165,0.0091
Gaussian,41.71,0.9987,0.0955,0.0093
Gaussian,41.1,0.998,0.1013,0.009
Gaussian,40.19,0.996,0.1165,0.0092
Gaussian,40.17,0.996,0.1167,0.0088
Gaussian,39.77,0.9945,0.1244,0.0099
Gaussian,41.06,0.998,0.1015,0.011
Gaussian,40.94,0.9967,0.1017,0.01
Gaussian,41.03,0.997,0.0957,0.0102
Gaussian,40.81,0.9964,0.1019,0.0104
Gaussian,40.78,0.997,0.0962,0.0105
Gaussian,41.37,0.9982,0.0973,0.0102
Gaussian,40.79,0.9967,0.0986,0.0106
Gaussian,40.54,0.9964,0.1035,0.0107
Gaussian,39.67,0.9942,0.1284,0.0106
Gaussian,41.48,0.9969,0.0972,0.0105
Gaussian,39.66,0.9942,0.1285,0.0101
Gaussian,40.9,0.9969,0.1016,0.0091
Gaussian,41.44,0.9969,0.0975,0.0088
Gaussian,40.83,0.9974,0.1019,0.009
Gaussian,41.01,0.997,0.0959,0.0089
Gaussian,41.23,0.9982,0.1011,0.0088
Gaussian,40.9,0.9963,0.1018,0.0088
Gaussian,40.97,0.9967,0.1026,0.0087
Gaussian,41.47,0.9984,0.0951,0.0087
Gaussian,40.95,0.9967,0.1024,0.0098
Gaussian,40.72,0.997,0.0973,0.0088
Gaussian,41.03,0.9978,0.1023,0.0096
Gaussian,39.78,0.9945,0.1244,0.0096
Gaussian,39.67,0.9942,0.1286,0.0097
Gaussian,40.75,0.997,0.0968,0.0088
Gaussian,40.99,0.9969,0.096,0.009
Gaussian,41.17,0.9986,0.0933,0.0094
Gaussian,41.42,0.9969,0.0976,0.0092
Gaussian,41.43,0.9969,0.0976,0.0091
Gaussian,41.43,0.997,0.0975,0.0097
Gaussian,41.43,0.9969,0.0975,0.009
Gaussian,40.15,0.996,0.1169,0.0086
Gaussian,41.56,0.9969,0.0979,0.0086
Gaussian,41.89,0.9984,0.0955,0.0088
Gaussian,41.36,0.9968,0.0981,0.009
Gaussian,39.81,0.9945,0.1238,0.0091
Gaussian,41.03,0.997,0.0957,0.0092
Gaussian,40.57,0.9965,0.1066,0.0091
Gaussian,40.97,0.997,0.097,0.0088
Gaussian,40.73,0.997,0.0974,0.0088
Gaussian,40.53,0.9964,0.1032,0.0089
Gaussian,40.19,0.996,0.1165,0.0089
Gaussian,40.79,0.9967,0.0986,0.0089
Gaussian,41.47,0.9969,0.0973,0.0088
Gaussian,41.18,0.9986,0.0933,0.0091
Gaussian,40.88,0.9964,0.1017,0.0087
Gaussian,39.67,0.9942,0.1286,0.0089
Gaussian,41.21,0.9982,0.1014,0.0087
Gaussian,40.83,0.9963,0.1019,0.0087
Gaussian,40.9,0.9969,0.1018,0.009
Gaussian,40.69,0.9974,0.1037,0.0088
Gaussian,41.9,0.9985,0.0952,0.0092
Gaussian,40.79,0.9974,0.1032,0.0089
Gaussian,41.49,0.9968,0.0972,0.009
Gaussian,41.23,0.9983,0.101,0.0091
Gaussian,41.0,0.997,0.0959,0.0089
Gaussian,41.49,0.9968,0.0973,0.0095
Gaussian,40.6,0.9965,0.1064,0.0089
Gaussian,41.36,0.9968,0.0981,0.0088
Gaussian,40.79,0.997,0.0958,0.009
Gaussian,41.25,0.9983,0.0979,0.009
Gaussian,41.23,0.9985,0.1001,0.0088
Gaussian,40.98,0.9967,0.1026,0.0091
Gaussian,41.56,0.9969,0.0981,0.0088
Gaussian,40.97,0.997,0.097,0.0088
Gaussian,41.33,0.9968,0.0983,0.0087
Gaussian,40.98,0.9967,0.102,0.0089
Gaussian,39.66,0.9942,0.1287,0.0087
Gaussian,41.6,0.9968,0.0983,0.0095
Gaussian,41.32,0.9983,0.0973,0.0093
Gaussian,41.12,0.9979,0.1014,0.0091
Gaussian,40.95,0.997,0.097,0.0088
Gaussian,41.17,0.9983,0.1014,0.0087
Gaussian,40.81,0.9967,0.0983,0.0086
Gaussian,39.69,0.9942,0.1282,0.009
Gaussian,40.78,0.9967,0.0987,0.009
Gaussian,41.27,0.9982,0.0978,0.0088
Gaussian,41.52,0.9968,0.0983,0.0087
Gaussian,39.78,0.9945,0.1243,0.0088
Gaussian,40.98,0.997,0.0968,0.009
Gaussian,41.39,0.9984,0.0957,0.0086
Gaussian,41.54,0.9969,0.0981,0.0088
Gaussian,41.35,0.9968,0.0981,0.0089
Gaussian,40.31,0.9968,0.1066,0.009
Gaussian,40.88,0.9969,0.0965,0.009
Gaussian,40.49,0.9968,0.1037,0.0089
Gaussian,40.72,0.9967,0.0999,0.0084
Gaussian,40.74,0.997,0.0962,0.0089
Gaussian,40.91,0.9971,0.0963,0.009
Gaussian,40.24,0.9967,0.1077,0.009
Gaussian,40.71,0.9967,0.1,0.009
Gaussian,40.59,0.9968,0.1108,0.0086
Gaussian,40.76,0.9968,0.1003,0.0092
Gaussian,40.57,0.9975,0.1009,0.0092
Gaussian,40.69,0.9969,0.1025,0.0089
Gaussian,41.15,0.9983,0.1011,0.0089
Gaussian,40.49,0.9972,0.1041,0.0087
Gaussian,40.51,0.9969,0.1033,0.009
Gaussian,41.12,0.9985,0.0934,0.0087
Gaussian,41.08,0.9987,0.0956,0.0087
Gaussian,40.61,0.9976,0.1001,0.0094
Gaussian,40.49,0.9968,0.1043,0.0091
Gaussian,40.59,0.9975,0.1052,0.0088
Gaussian,40.62,0.9974,0.1004,0.0089
Gaussian,40.17,0.9961,0.1136,0.009
Gaussian,40.49,0.9976,0.1018,0.0088
Gaussian,40.8,0.998,0.1013,0.0093
Gaussian,40.74,0.9969,0.1015,0.0091
Gaussian,40.57,0.996,0.1061,0.0088
Gaussian,40.45,0.9975,0.1032,0.009
Gaussian,40.96,0.9984,0.0949,0.0088
Gaussian,40.78,0.9969,0.1008,0.0088
Gaussian,40.35,0.996,0.1088,0.0092
Gaussian,40.51,0.9971,0.1044,0.009
Gaussian,40.71,0.9978,0.0982,0.0092
Gaussian,40.53,0.9968,0.1033,0.0095
Gaussian,40.66,0.9968,0.1008,0.0087
Gaussian,40.59,0.9972,0.0982,0.009
Gaussian,40.43,0.996,0.1078,0.0091
Gaussian,40.37,0.9968,0.1015,0.0092
Gaussian,40.49,0.9975,0.1022,0.0087
Gaussian,40.61,0.9969,0.11,0.0095
Gaussian,41.4,0.9984,0.0982,0.0088
Gaussian,40.56,0.9966,0.1082,0.0093
Gaussian,40.29,0.9961,0.1075,0.0087
Gaussian,41.07,0.9971,0.0965,0.0086
Gaussian,40.57,0.9966,0.1081,0.0092
Gaussian,40.52,0.9968,0.1001,0.0109
Gaussian,40.1,0.9962,0.1169,0.0092
Gaussian,41.08,0.9984,0.096,0.0091
Gaussian,40.96,0.9981,0.0995,0.0087
Gaussian,40.64,0.9963,0.11,0.009
Gaussian,40.99,0.997,0.0933,0.0089
Gaussian,40.68,0.9966,0.1007,0.0088
Gaussian,40.96,0.9969,0.0962,0.0087
Gaussian,40.37,0.9967,0.1064,0.0089
Gaussian,40.7,0.997,0.1029,0.0088
Gaussian,41.59,0.9986,0.0968,0.0103
Gaussian,40.56,0.9964,0.1091,0.0098
Gaussian,40.87,0.9972,0.1034,0.0095
Gaussian,41.39,0.9985,0.0987,0.0091
Gaussian,40.6,0.9975,0.102,0.009
Gaussian,41.06,0.9984,0.0962,0.009
Gaussian,40.12,0.9965,0.1101,0.0087
Gaussian,40.68,0.9973,0.0986,0.0091
Gaussian,40.52,0.9977,0.1023,0.0094
Gaussian,40.37,0.9967,0.1058,0.0091
Gaussian,40.85,0.9972,0.0958,0.009
Gaussian,40.12,0.9965,0.1103,0.0088
Gaussian,40.36,0.996,0.1083,0.0093
Gaussian,40.39,0.9967,0.1028,0.0091
Gaussian,40.25,0.9961,0.1074,0.0089
Gaussian,40.54,0.9974,0.1005,0.0092
Gaussian,40.71,0.9964,0.106,0.0089
Gaussian,40.62,0.9969,0.1019,0.0091
Gaussian,40.7,0.9969,0.0992,0.0091
Gaussian,40.98,0.9985,0.0925,0.0088
Gaussian,40.64,0.9977,0.0991,0.009
Gaussian,40.99,0.9983,0.0948,0.0097
Gaussian,40.73,0.9969,0.1001,0.01
Gaussian,41.08,0.9984,0.0958,0.0098
Gaussian,40.22,0.996,0.1088,0.0094
Gaussian,40.54,0.9975,0.0993,0.0111
Gaussian,40.2,0.9962,0.1124,0.0106
Gaussian,40.71,0.9967,0.1004,0.0105
Gaussian,41.12,0.9969,0.0954,0.0098
Gaussian,40.47,0.9967,0.1064,0.0099
Gaussian,40.41,0.9968,0.1046,0.01
Gaussian,40.49,0.996,0.1072,0.0099
Gaussian,40.51,0.9968,0.1123,0.0103
Gaussian,40.33,0.9972,0.1058,0.0101
Gaussian,40.82,0.9982,0.1006,0.0096
Gaussian,40.5,0.9968,0.1034,0.0094
Gaussian,40.61,0.9975,0.0996,0.0092
Gaussian,40.35,0.996,0.1086,0.0093
Gaussian,41.14,0.9983,0.0946,0.0094
Gaussian,40.25,0.9967,0.1079,0.0091
Gaussian,40.4,0.996,0.1082,0.0095
Gaussian,40.57,0.9966,0.1082,0.0092
Gaussian,40.28,0.9965,0.1122,0.0093
Gaussian,40.23,0.997,0.1061,0.0094
Gaussian,40.72,0.9964,0.109,0.0093
Gaussian,40.36,0.9964,0.1098,0.0092
Gaussian,40.51,0.9974,0.103,0.0093
Gaussian,40.89,0.9969,0.0987,0.0098
Gaussian,40.49,0.9968,0.1033,0.0089
Gaussian,40.97,0.997,0.0968,0.0092
Gaussian,41.0,0.9969,0.0953,0.0089
Gaussian,40.56,0.9974,0.1009,0.0093
Gaussian,41.15,0.9985,0.0945,0.0093
Gaussian,41.02,0.9978,0.0961,0.009
Gaussian,40.53,0.9968,0.1115,0.0088
Gaussian,40.73,0.9983,0.1025,0.0093
Gaussian,40.67,0.9965,0.107,0.0094
Gaussian,40.5,0.9969,0.1034,0.0094
Gaussian,40.73,0.9974,0.0989,0.0095
Gaussian,40.74,0.9967,0.1015,0.0102
Gaussian,40.59,0.997,0.0978,0.0088
Gaussian,40.48,0.9968,0.1042,0.007
Gaussian,41.1,0.9981,0.1035,0.0066
Gaussian,40.8,0.998,0.0987,0.0093
Gaussian,40.62,0.9968,0.1165,0.0091
Gaussian,40.67,0.9978,0.1033,0.0088
Gaussian,41.33,0.9985,0.0996,0.009
Gaussian,41.19,0.997,0.0964,0.0088
Gaussian,40.9,0.9983,0.0998,0.0091
Gaussian,40.95,0.9979,0.1011,0.0091
Gaussian,39.85,0.9955,0.1168,0.0093
Gaussian,41.19,0.9984,0.1008,0.0093
Gaussian,39.53,0.9942,0.135,0.0089
Gaussian,40.1,0.9957,0.1132,0.0096
Gaussian,39.79,0.9959,0.1307,0.0093
Gaussian,40.75,0.998,0.0991,0.007
Gaussian,40.43,0.9972,0.1097,0.0063
Gaussian,41.09,0.9983,0.095,0.0064
Gaussian,41.09,0.9985,0.0976,0.0064
Gaussian,40.35,0.9961,0.1189,0.0064
Gaussian,41.22,0.9986,0.0964,0.0065
Gaussian,41.0,0.9981,0.099,0.0065
Gaussian,40.79,0.9975,0.1052,0.0064
Gaussian,39.93,0.9957,0.1206,0.0064
Gaussian,41.11,0.9984,0.0984,0.0068
Gaussian,40.66,0.9968,0.1084,0.0066
Gaussian,41.12,0.9969,0.1001,0.0064
Gaussian,40.62,0.9967,0.1066,0.0064
Gaussian,40.26,0.9962,0.1198,0.0064
Gaussian,40.09,0.996,0.112,0.0064
Gaussian,40.06,0.9962,0.1115,0.0064
Gaussian,40.32,0.9967,0.1205,0.0064
Gaussian,41.14,0.9985,0.097,0.0064
Gaussian,40.48,0.9965,0.1081,0.0064
Gaussian,40.9,0.9984,0.0996,0.0064
Gaussian,41.07,0.9986,0.0984,0.0064
Gaussian,40.82,0.9978,0.1053,0.0064
Gaussian,40.25,0.9962,0.12,0.0064
Gaussian,40.35,0.9963,0.1147,0.0063
Gaussian,40.64,0.9962,0.1022,0.0064
Gaussian,40.6,0.9967,0.1076,0.0063
Gaussian,41.03,0.9983,0.0997,0.0063
Gaussian,40.72,0.9982,0.0983,0.0063
Gaussian,40.24,0.9962,0.121,0.0063
Gaussian,41.11,0.9983,0.0964,0.0063
Gaussian,41.04,0.9982,0.0967,0.0063
Gaussian,39.84,0.9947,0.1258,0.0063
Gaussian,40.67,0.997,0.1045,0.0063
Gaussian,41.03,0.9982,0.1003,0.0063
Gaussian,40.62,0.9967,0.1062,0.0063
Gaussian,41.08,0.9987,0.0925,0.0064
Gaussian,41.03,0.9984,0.0985,0.0064
Gaussian,41.22,0.9984,0.0971,0.0064
Gaussian,41.14,0.9987,0.0935,0.0064
Gaussian,40.42,0.9966,0.106,0.0064
Gaussian,39.83,0.9954,0.1197,0.0064
Gaussian,40.99,0.9969,0.1015,0.0064
Gaussian,40.25,0.9961,0.1158,0.0064
Gaussian,39.71,0.9946,0.1272,0.0064
Gaussian,40.45,0.9974,0.1057,0.0064
Gaussian,41.29,0.9982,0.0966,0.0064
Gaussian,40.59,0.997,0.1152,0.0064
Gaussian,40.17,0.9964,0.1109,0.0064
Gaussian,40.95,0.998,0.1009,0.0064
Gaussian,40.88,0.9969,0.1035,0.0064
Gaussian,40.52,0.9967,0.1095,0.0064
Gaussian,40.89,0.9984,0.0991,0.0065
Gaussian,40.24,0.9957,0.1091,0.0064
Gaussian,41.34,0.9986,0.0966,0.0064
Gaussian,40.71,0.9978,0.1088,0.0068
Gaussian,40.17,0.9962,0.1135,0.0064
Gaussian,40.78,0.9981,0.0968,0.0064
Gaussian,41.34,0.9986,0.0967,0.0064
Gaussian,40.76,0.9976,0.1019,0.0064
Gaussian,40.64,0.9976,0.1038,0.0064
Gaussian,40.88,0.997,0.0964,0.0064
Gaussian,40.11,0.9954,0.1107,0.0064
Gaussian,39.89,0.9956,0.1167,0.0064
Gaussian,40.25,0.9962,0.1099,0.0064
Gaussian,40.21,0.9962,0.1212,0.0065
Gaussian,41.06,0.9985,0.0982,0.0064
Gaussian,40.98,0.998,0.1011,0.0064
Gaussian,39.97,0.9958,0.1181,0.0064
Gaussian,40.32,0.9964,0.1095,0.0064
Gaussian,41.05,0.9983,0.0986,0.0064
Gaussian,40.87,0.9981,0.101,0.0064
Gaussian,40.68,0.9971,0.1138,0.0064
Gaussian,40.08,0.9961,0.1242,0.0064
Gaussian,41.18,0.9968,0.0985,0.0064
Gaussian,40.28,0.997,0.1164,0.0064
Gaussian,41.12,0.9983,0.0961,0.0064
Gaussian,40.74,0.9979,0.0989,0.0064
Gaussian,41.0,0.9986,0.0966,0.0064
Gaussian,40.35,0.9965,0.1082,0.0064
Gaussian,41.2,0.9985,0.0968,0.0064
Gaussian,41.03,0.9983,0.0995,0.0064
Gaussian,39.53,0.9947,0.1327,0.0064
Gaussian,40.27,0.9968,0.1174,0.0064
Gaussian,40.52,0.9967,0.1052,0.0064
Gaussian,40.04,0.996,0.1255,0.0064
Gaussian,40.76,0.9968,0.1037,0.0064
Gaussian,41.09,0.9983,0.0988,0.0064
Gaussian,41.5,0.9985,0.099,0.0064
Gaussian,41.1,0.9984,0.0983,0.0064
Gaussian,40.06,0.9963,0.112,0.0064
Gaussian,40.74,0.9979,0.1002,0.0064
Gaussian,40.2,0.9968,0.1165,0.0064
Gaussian,40.97,0.9981,0.1011,0.0064
Gaussian,39.64,0.9948,0.1285,0.0064
Gaussian,39.95,0.9952,0.1173,0.0064
Gaussian,40.04,0.9963,0.1117,0.0064
Gaussian,40.95,0.9982,0.1065,0.0064
Gaussian,41.15,0.9985,0.0975,0.0064
Gaussian,41.08,0.9983,0.0986,0.0064
Gaussian,41.06,0.9983,0.0934,0.0064
Gaussian,41.22,0.9982,0.0991,0.0064
Gaussian,41.89,0.9989,0.0929,0.0064
Gaussian,41.2,0.9983,0.0995,0.0064
Gaussian,41.03,0.9982,0.0944,0.0064
Gaussian,41.66,0.9986,0.0976,0.0064
Gaussian,41.09,0.9982,0.0938,0.0064
Gaussian,41.33,0.9986,0.0934,0.0064
Gaussian,40.95,0.9982,0.0948,0.0065
Gaussian,41.61,0.9986,0.0955,0.0064
Gaussian,40.71,0.9969,0.1011,0.0064
Gaussian,40.74,0.9961,0.1036,0.0064
Gaussian,41.12,0.9976,0.1026,0.0064
Gaussian,41.25,0.9987,0.0946,0.0064
Gaussian,41.3,0.9981,0.0974,0.0064
Gaussian,41.43,0.9985,0.0994,0.0064
Gaussian,41.14,0.9983,0.0933,0.0064
Gaussian,41.25,0.9985,0.0964,0.0064
Gaussian,41.12,0.9979,0.1001,0.0064
Gaussian,41.23,0.9985,0.0991,0.0065
Gaussian,41.03,0.9986,0.1007,0.0064
Gaussian,41.36,0.999,0.0905,0.0064
Gaussian,41.09,0.9981,0.0962,0.0064
Gaussian,41.24,0.9982,0.0978,0.0064
Gaussian,41.41,0.9985,0.0961,0.0064
Gaussian,40.95,0.9979,0.0999,0.0064
Gaussian,41.15,0.9982,0.0937,0.0064
Gaussian,40.8,0.997,0.1008,0.0064
Gaussian,41.03,0.9982,0.0944,0.0064
Gaussian,40.97,0.9982,0.0949,0.0064
Gaussian,41.03,0.9982,0.0955,0.0064
Gaussian,41.1,0.9984,0.0999,0.0064
Gaussian,41.14,0.9982,0.0952,0.0064
Gaussian,41.18,0.9977,0.0972,0.0064
Gaussian,41.31,0.9977,0.0979,0.0064
Gaussian,41.31,0.9989,0.0929,0.0064
Gaussian,41.83,0.9989,0.0941,0.0064
Gaussian,42.1,0.9988,0.093,0.0064
Gaussian,40.73,0.9962,0.1006,0.0065
Gaussian,41.21,0.998,0.0989,0.0065
Gaussian,40.99,0.9977,0.0981,0.0065
Gaussian,41.31,0.9985,0.1004,0.0064
Gaussian,41.47,0.9987,0.0953,0.0064
Gaussian,41.11,0.9981,0.0975,0.0064
Gaussian,42.15,0.9989,0.0895,0.0064
Gaussian,40.8,0.9972,0.0998,0.0064
Gaussian,40.92,0.9971,0.0988,0.0064
Gaussian,41.75,0.9987,0.0978,0.0065
Gaussian,40.91,0.9965,0.0997,0.0064
Gaussian,41.36,0.9977,0.0976,0.0064
Gaussian,40.76,0.9972,0.0998,0.0064
Gaussian,41.37,0.9988,0.093,0.0064
Gaussian,41.13,0.9985,0.0993,0.0064
Gaussian,41.17,0.9981,0.0966,0.0064
Gaussian,41.59,0.9977,0.096,0.0064
Gaussian,40.79,0.9972,0.0995,0.0064
Gaussian,41.26,0.998,0.0987,0.0064
Gaussian,41.38,0.998,0.0967,0.0064
Gaussian,40.93,0.9972,0.0989,0.0064
Gaussian,41.33,0.9984,0.0973,0.0064
Gaussian,41.2,0.9982,0.0952,0.0064
Gaussian,41.08,0.997,0.0951,0.0064
Gaussian,41.2,0.9981,0.0978,0.0064
Gaussian,41.1,0.998,0.0997,0.0064
Gaussian,41.25,0.9984,0.1001,0.0064
Gaussian,41.26,0.9979,0.0957,0.0064
Gaussian,41.45,0.9979,0.0978,0.0064
Gaussian,41.2,0.9981,0.0984,0.0064
Gaussian,41.11,0.9983,0.0945,0.0064
Gaussian,40.79,0.9977,0.1,0.0064
Gaussian,41.27,0.9985,0.0973,0.0065
Gaussian,41.1,0.9981,0.0995,0.0064
Gaussian,40.8,0.9969,0.1004,0.0064
Gaussian,41.79,0.9987,0.0967,0.0065
Gaussian,41.19,0.9978,0.1005,0.0065
Gaussian,41.39,0.9983,0.0964,0.0064
Gaussian,41.21,0.9981,0.0958,0.0064
Gaussian,41.0,0.9971,0.0946,0.0064
Gaussian,41.35,0.9985,0.0971,0.0064
Gaussian,41.62,0.9988,0.0951,0.0064
Gaussian,41.18,0.9985,0.1014,0.0064
Gaussian,40.7,0.9973,0.1006,0.0064
Gaussian,41.35,0.9986,0.093,0.0064
Gaussian,40.82,0.9969,0.1006,0.0064
Gaussian,41.27,0.9985,0.0969,0.0064
Gaussian,40.87,0.9971,0.0993,0.0064
Gaussian,41.12,0.9983,0.1,0.0064
Gaussian,41.08,0.9985,0.0995,0.0064
Gaussian,41.24,0.9985,0.0986,0.0064
Gaussian,40.94,0.9981,0.0947,0.0064
Gaussian,40.83,0.9957,0.1041,0.0064
Gaussian,41.29,0.9986,0.0934,0.0064
Gaussian,41.33,0.9974,0.0983,0.0064
Gaussian,40.92,0.998,0.0951,0.0064
Gaussian,41.2,0.9978,0.0972,0.0064
Gaussian,40.82,0.9962,0.1011,0.0064
Gaussian,41.59,0.9986,0.0954,0.0064
Gaussian,41.3,0.9984,0.0993,0.0064
Gaussian,42.01,0.9989,0.0921,0.0064
Gaussian,41.22,0.9988,0.0944,0.0065
Gaussian,40.91,0.9977,0.0965,0.0064
Gaussian,41.24,0.9979,0.097,0.0064
Gaussian,40.96,0.9966,0.0995,0.0064
Gaussian,41.21,0.9984,0.0989,0.0064
Gaussian,41.35,0.9986,0.0969,0.0064
Gaussian,41.29,0.9986,0.0963,0.0065
Gaussian,41.16,0.9983,0.0996,0.0064
Gaussian,42.08,0.9988,0.0935,0.0064
Gaussian,40.98,0.9974,0.0971,0.0064
Gaussian,40.91,0.9978,0.0969,0.0065
Gaussian,41.39,0.9986,0.0953,0.0064
Gaussian,40.9,0.9971,0.0995,0.0064
Gaussian,40.69,0.9973,0.1006,0.0064
Gaussian,41.04,0.9979,0.097,0.0064
Gaussian,41.41,0.998,0.0966,0.0064
Gaussian,41.52,0.9972,0.0987,0.0064
Gaussian,41.34,0.9985,0.0978,0.0064
Gaussian,41.27,0.9981,0.0981,0.0064
Gaussian,41.13,0.9986,0.0991,0.0064
Gaussian,41.35,0.9984,0.0975,0.0064
Gaussian,41.07,0.9986,0.0994,0.0064
Gaussian,41.35,0.9984,0.0973,0.0064
Gaussian,41.19,0.9985,0.0979,0.0064
Gaussian,41.17,0.9978,0.0991,0.0064
Gaussian,40.81,0.998,0.0992,0.0064
Gaussian,41.08,0.9981,0.0969,0.0064
Gaussian,41.19,0.9984,0.0997,0.0064
